Date,Open,High,Low,Close,Adj Close,Volume
2022-10-11,3.640000,3.700000,3.380000,3.700000,3.623554,2823
2022-10-12,3.920000,3.920000,3.700000,3.700000,3.623554,990
2022-10-13,3.900000,3.900000,3.340000,3.340000,3.270992,3455
2022-10-14,3.600000,3.600000,3.600000,3.600000,3.525620,1750
2022-10-17,3.880000,3.880000,3.600000,3.880000,3.799836,1964
2022-10-18,3.900000,4.000000,3.620000,4.000000,3.917356,16624
2022-10-19,3.680000,4.000000,3.680000,3.780000,3.701902,5873
2022-10-20,4.000000,4.000000,3.720000,4.000000,3.917356,1508
2022-10-21,3.980000,3.980000,3.700000,3.900000,3.819422,937
2022-10-24,3.740000,3.960000,3.620000,3.720000,3.643141,3400
2022-10-25,3.740000,3.760000,3.660000,3.760000,3.682315,1519
2022-10-26,3.900000,3.900000,3.660000,3.760000,3.682315,471
2022-10-27,3.660000,3.800000,3.640000,3.800000,3.721488,3320
2022-10-28,3.700000,3.700000,3.680000,3.800000,3.721488,350
2022-10-31,3.660000,3.780000,3.640000,3.640000,3.564794,11
2022-11-01,3.660000,3.740000,3.660000,3.740000,3.662728,623
2022-11-02,3.600000,3.900000,3.600000,3.900000,3.819422,502
2022-11-03,3.900000,3.960000,3.660000,3.960000,3.878183,2037
2022-11-04,3.720000,3.960000,3.720000,3.720000,3.643141,342
2022-11-07,3.700000,3.720000,3.680000,3.720000,3.643141,166
2022-11-08,3.960000,3.960000,3.960000,3.960000,3.878183,1
2022-11-09,3.660000,3.660000,3.660000,3.660000,3.584381,1
2022-11-10,3.920000,3.920000,3.680000,3.920000,3.839009,39
2022-11-11,3.680000,3.980000,3.660000,3.980000,3.897769,2469
2022-11-14,3.960000,3.960000,3.960000,3.960000,3.878183,157
2022-11-15,3.960000,3.980000,3.960000,3.980000,3.897769,204
2022-11-16,3.960000,3.960000,3.960000,3.960000,3.878183,35
2022-11-17,3.980000,4.000000,3.960000,4.000000,3.917356,2600
2022-11-18,3.960000,3.980000,3.700000,3.960000,3.878183,3059
