LaunchSite,Class
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,0
VAFB SLC 4E,0
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,1
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,1
VAFB SLC 4E,0
CCSFS SLC 40,0
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,0
VAFB SLC 4E,1
KSC LC 39A,1
KSC LC 39A,0
KSC LC 39A,1
KSC LC 39A,1
KSC LC 39A,0
KSC LC 39A,1
KSC LC 39A,1
VAFB SLC 4E,1
KSC LC 39A,0
KSC LC 39A,1
VAFB SLC 4E,1
KSC LC 39A,1
VAFB SLC 4E,1
KSC LC 39A,1
KSC LC 39A,1
CCSFS SLC 40,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,0
VAFB SLC 4E,0
CCSFS SLC 40,0
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,0
CCSFS SLC 40,0
CCSFS SLC 40,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,1
VAFB SLC 4E,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,0
CCSFS SLC 40,0
VAFB SLC 4E,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,0
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,0
CCSFS SLC 40,1
CCSFS SLC 40,0
CCSFS SLC 40,1
KSC LC 39A,0
KSC LC 39A,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
KSC LC 39A,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,0
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
KSC LC 39A,1
KSC LC 39A,1
CCSFS SLC 40,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
VAFB SLC 4E,1
KSC LC 39A,1
CCSFS SLC 40,1
VAFB SLC 4E,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,1
CCSFS SLC 40,1
VAFB SLC 4E,1
KSC LC 39A,1
CCSFS SLC 40,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
KSC LC 39A,1
VAFB SLC 4E,1
CCSFS SLC 40,1
CCSFS SLC 40,1
KSC LC 39A,1
